Animal Number,Group Number,Device Name,Days In Milk,Lactation Number,Date,Begin Time,End Time,Milk duration (mm:ss),Yield,Yield LF,Yield LR,Yield RF,Yield RR,Expected Yield/Hour LR,Expected Yield/Hour RF,Expected Yield/Hour RR,Expected Yield/Hour LF,Interval,Last Milking Interval,Conductivity RR,Conductivity RF,Conductivity LR,Conductivity LF,Total Conductivity,Mean Flow LR,Mean Flow LF,Mean Flow RR,Mean Flow RF,Peak Flow LF,Peak Flow LR,Peak Flow RF,Peak Flow RR,MDi,Kickoff LF,Kickoff LR,Kickoff RF,Kickoff RR,Blood RF,Blood RR,Blood LF,Blood LR,Total Blood,Teats Not Found,Smart Pulsation Ratio,Incomplete
7268,1,VMS 1 Fred,249,3,4/11/2021,4/11/2021 11:59 AM,12:12 PM,13:08,17.90,2.84,0.00,3.64,11.42,0.00,1.28,1.22,0.81,01:10:50,01:23:58,4.18,3.75,0.00,4.49,12.42,0.00,1.46,2.51,1.98,2.38,0.00,2.65,3.84,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,LR,74,LR
7511,1,VMS 2 Ethel,36,3,4/8/2021,4/8/2021 8:33 PM,8:39 PM,05:55,15.85,1.61,2.56,1.96,9.72,1.65,1.43,1.79,1.22,01:25:55,01:31:50,4.77,4.50,4.19,4.23,17.69,1.46,1.06,3.04,1.59,2.12,2.78,2.78,4.10,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7184,1,VMS 2 Ethel,209,3,4/6/2021,4/6/2021 4:53 AM,5:02 AM,08:06,48.74,11.11,14.15,12.30,11.18,0.95,0.81,0.74,0.79,01:33:35,01:41:41,4.26,4.17,4.20,4.18,16.82,2.38,2.65,2.12,2.38,3.31,3.44,3.57,3.31,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7150,1,VMS 1 Fred,39,4,4/6/2021,4/6/2021 11:15 AM,11:25 AM,09:12,53.37,11.97,13.62,14.02,13.76,1.61,1.67,1.70,1.52,02:06:41,02:15:53,4.89,5.03,4.62,4.62,19.16,2.65,3.57,2.78,2.65,4.89,3.84,3.57,3.70,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7759,1,VMS 2 Ethel,12,3,4/8/2021,4/8/2021 5:33 PM,5:38 PM,04:57,13.62,3.35,4.17,2.67,3.44,1.45,1.35,1.31,1.47,02:14:44,02:19:41,4.44,4.37,4.04,4.29,17.15,1.98,1.72,1.72,2.12,3.04,3.31,3.31,2.78,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
8222,1,VMS 2 Ethel,48,2,4/11/2021,4/11/2021 9:41 PM,9:49 PM,07:55,28.99,2.93,2.62,8.88,14.55,1.21,0.81,1.03,1.00,02:16:19,02:24:14,4.90,5.19,4.26,5.49,19.83,1.72,1.72,2.78,2.51,3.04,2.65,3.44,3.44,2.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7268,1,VMS 1 Fred,247,3,4/9/2021,4/9/2021 12:36 PM,12:47 PM,11:49,19.60,1.81,15.43,2.36,0.00,1.49,1.17,0.91,0.71,02:32:00,02:43:49,0.00,3.86,4.46,4.35,12.67,2.25,1.32,0.00,2.12,2.91,3.04,3.57,0.00,1.1,Unchecked,Unchecked,Checked,Unchecked,0,0,0,0,0,RR,65,RR
7150,1,VMS 2 Ethel,42,4,4/9/2021,4/9/2021 2:18 AM,2:23 AM,04:58,22.38,5.11,5.91,5.69,5.67,1.63,1.71,1.71,1.54,03:06:22,03:11:20,4.84,4.74,4.81,4.77,19.16,2.25,3.04,2.38,2.65,3.97,3.70,3.57,3.31,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7511,1,VMS 1 Fred,36,3,4/8/2021,4/8/2021 2:59 PM,3:03 PM,04:46,20.04,3.81,5.20,4.54,6.48,1.61,1.44,1.80,1.23,03:08:21,03:13:07,4.47,4.64,4.57,4.49,18.16,2.65,2.12,2.78,3.31,3.31,4.23,4.76,3.57,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
6345,1,VMS 2 Ethel,78,5,4/12/2021,4/12/2021 4:04 PM,4:11 PM,06:34,28.31,3.70,13.36,4.45,6.79,1.88,1.34,1.73,1.09,03:06:54,03:13:28,4.72,4.80,5.10,4.81,19.43,3.04,2.12,1.72,2.12,2.91,4.76,3.70,2.51,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7494,1,VMS 2 Ethel,116,3,4/11/2021,4/11/2021 3:14 AM,3:22 AM,07:45,25.00,4.63,6.59,4.12,9.66,0.96,0.93,1.39,1.00,03:06:58,03:14:43,4.71,4.25,4.21,4.06,17.22,2.51,2.78,2.78,2.12,3.57,4.23,2.65,3.70,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7501,1,VMS 2 Ethel,176,3,4/11/2021,4/11/2021 7:32 PM,7:37 PM,05:50,33.91,3.81,11.24,8.58,10.27,1.28,1.27,1.53,0.57,03:10:27,03:16:17,4.09,4.12,3.80,4.41,16.41,3.70,1.72,4.10,3.04,2.78,5.29,3.97,5.42,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
7268,1,VMS 1 Fred,247,3,4/9/2021,4/9/2021 2:37 AM,2:48 AM,10:51,45.19,5.31,22.53,10.60,6.75,1.60,1.28,1.38,0.89,03:05:33,03:16:24,4.29,4.19,4.32,4.56,17.35,2.65,2.65,2.91,2.78,3.57,3.70,3.70,3.97,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7511,1,VMS 2 Ethel,37,3,4/9/2021,4/9/2021 9:14 AM,9:19 AM,05:44,22.47,3.62,6.97,5.05,6.83,1.66,1.46,1.80,1.20,03:12:16,03:18:00,4.25,4.43,4.38,4.23,17.28,2.51,2.25,2.51,3.70,3.31,3.84,5.16,3.70,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7669,1,VMS 1 Fred,25,3,4/8/2021,4/8/2021 2:59 AM,3:06 AM,06:53,20.35,3.48,7.01,3.48,6.37,2.08,1.04,1.73,1.06,03:16:39,03:23:32,4.44,4.18,4.45,4.34,17.42,2.38,1.85,2.65,1.85,2.91,3.84,3.04,3.57,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7669,1,VMS 2 Ethel,26,3,4/9/2021,4/9/2021 4:05 AM,4:11 AM,05:16,18.98,3.57,6.55,3.66,5.20,1.92,1.07,1.67,1.07,03:19:28,03:24:44,4.50,4.42,4.60,4.44,17.95,2.65,1.72,2.25,1.59,2.91,4.37,2.51,3.57,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
6643,1,VMS 2 Ethel,24,5,4/10/2021,4/10/2021 12:31 PM,12:37 PM,06:21,19.97,3.57,5.18,4.61,6.61,1.38,1.32,1.72,0.97,03:18:34,03:24:55,4.24,4.37,4.20,4.54,17.35,1.85,1.46,1.98,1.59,2.51,2.65,2.38,2.91,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
6345,1,VMS 2 Ethel,74,5,4/8/2021,4/8/2021 10:53 PM,10:59 PM,06:44,15.79,3.17,4.96,3.53,4.12,1.65,1.15,1.43,0.99,03:18:21,03:25:05,4.70,4.91,4.73,4.76,19.09,1.59,1.72,1.19,1.85,2.78,2.65,3.04,2.25,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7669,1,VMS 2 Ethel,25,3,4/8/2021,4/8/2021 4:00 PM,4:07 PM,07:00,21.65,3.77,7.69,3.84,6.35,2.10,1.06,1.73,1.08,03:20:21,03:27:21,4.57,4.50,4.72,4.56,18.36,3.04,1.85,2.51,1.85,2.65,4.10,2.78,3.57,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7150,1,VMS 1 Fred,45,4,4/12/2021,4/12/2021 12:35 AM,12:40 AM,05:27,23.30,5.49,5.69,6.35,5.78,1.62,1.72,1.67,1.54,03:23:06,03:28:33,4.79,4.56,4.51,4.62,18.49,1.98,3.31,2.25,2.51,4.23,3.17,3.57,3.31,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7268,1,VMS 1 Fred,247,3,4/9/2021,4/9/2021 4:08 PM,4:19 PM,10:16,17.77,5.91,0.26,5.27,6.33,0.90,1.27,1.35,0.92,03:21:00,03:31:16,4.20,4.13,3.62,4.75,16.71,1.19,2.25,2.38,2.12,4.10,1.85,3.97,3.70,1.1,Unchecked,Checked,Unchecked,Unchecked,0,0,0,0,0,LR,65,LR
8090,1,VMS 1 Fred,85,2,4/9/2021,4/9/2021 2:38 PM,2:44 PM,05:11,26.10,4.39,10.71,5.42,5.58,1.30,1.27,1.42,1.04,03:27:36,03:32:47,4.47,4.87,4.26,4.89,18.49,3.57,3.57,2.91,3.57,5.42,4.63,5.42,3.97,1.5,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7501,1,VMS 2 Ethel,176,3,4/11/2021,4/11/2021 2:16 AM,2:23 AM,07:04,40.12,5.53,10.38,12.10,12.10,1.33,1.29,1.53,0.57,03:28:29,03:35:33,4.23,4.18,4.00,5.68,18.09,3.97,2.12,3.97,2.91,2.91,5.69,3.97,5.29,1.5,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
8865,1,VMS 1 Fred,21,1,4/10/2021,4/10/2021 10:54 AM,11:04 AM,09:41,16.12,2.67,2.69,5.47,5.29,0.45,0.62,0.54,0.36,03:26:33,03:36:14,4.61,3.88,3.78,3.88,16.15,2.12,2.91,2.25,3.97,5.42,3.70,6.35,3.57,1.2,Unchecked,Unchecked,Checked,Unchecked,0,0,0,0,0,,65,
7759,1,VMS 1 Fred,14,3,4/10/2021,4/10/2021 11:18 PM,11:23 PM,05:22,23.57,6.57,5.36,5.34,6.31,1.39,1.38,1.49,1.45,03:31:25,03:36:47,4.54,4.23,4.24,4.42,17.42,2.25,2.65,2.25,2.91,4.10,3.97,4.23,3.44,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
7064,1,VMS 2 Ethel,71,4,4/12/2021,4/12/2021 1:36 AM,1:42 AM,06:00,24.54,5.53,6.44,5.64,6.92,1.59,1.46,1.76,1.39,03:34:17,03:40:17,4.29,4.40,4.53,4.27,17.49,2.91,2.25,2.38,2.25,3.44,4.10,3.31,3.57,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7511,1,VMS 1 Fred,37,3,4/9/2021,4/9/2021 5:41 PM,5:46 PM,05:02,24.54,5.16,6.15,5.80,7.43,1.64,1.47,1.81,1.27,03:36:59,03:42:01,4.59,4.68,4.60,4.49,18.36,2.65,3.57,3.04,4.23,4.76,4.23,5.82,3.97,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7362,1,VMS 1 Fred,82,3,4/9/2021,4/9/2021 6:33 PM,6:38 PM,05:17,24.05,5.09,6.83,4.81,7.32,1.85,1.30,1.87,1.38,03:38:22,03:43:39,4.45,4.82,4.46,4.56,18.29,2.65,2.51,2.78,2.12,4.10,3.70,2.91,3.84,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7261,1,VMS 1 Fred,41,4,4/11/2021,4/11/2021 9:39 AM,9:45 AM,05:57,29.92,6.90,7.50,7.05,8.47,1.84,1.66,1.91,1.64,03:38:46,03:44:43,4.65,4.55,4.80,4.75,18.76,2.12,1.98,2.38,2.12,2.91,2.91,2.91,3.17,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
8090,1,VMS 2 Ethel,86,2,4/10/2021,4/10/2021 7:02 AM,7:08 AM,06:07,25.82,4.48,5.75,5.29,10.30,1.31,1.24,1.33,1.05,03:41:42,03:47:49,4.36,4.63,4.32,4.84,18.16,3.31,3.57,3.70,3.31,4.89,4.76,4.10,4.76,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7150,1,VMS 1 Fred,44,4,4/11/2021,4/11/2021 9:06 PM,9:12 PM,05:16,28.11,6.68,7.39,7.03,7.01,1.60,1.70,1.67,1.53,03:44:40,03:49:56,4.67,4.56,4.65,4.48,18.36,2.38,3.44,2.78,2.78,4.37,3.17,3.84,3.70,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7669,1,VMS 2 Ethel,25,3,4/8/2021,4/8/2021 12:34 PM,12:40 PM,05:14,22.97,4.21,7.83,4.08,6.86,2.07,1.06,1.73,1.09,03:46:30,03:51:44,4.58,4.49,4.60,4.42,18.09,2.78,1.98,2.65,1.72,2.78,3.84,2.65,3.70,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7511,1,VMS 2 Ethel,38,3,4/10/2021,4/10/2021 7:48 PM,7:54 PM,06:23,26.35,5.00,6.83,6.28,8.22,1.70,1.43,1.86,1.30,03:45:48,03:52:11,4.58,4.57,4.67,4.54,18.36,2.51,3.44,2.65,4.10,5.03,3.97,5.29,3.97,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7514,1,VMS 1 Fred,185,3,4/10/2021,4/10/2021 10:05 AM,10:13 AM,08:25,32.43,2.89,17.53,3.90,8.11,1.60,0.92,1.90,0.66,03:46:25,03:54:50,4.40,4.48,4.99,4.89,18.76,2.91,1.32,3.17,1.85,2.25,4.10,3.17,4.63,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7745,1,VMS 1 Fred,272,2,4/6/2021,4/6/2021 12:42 PM,12:49 PM,07:07,36.35,9.74,5.00,9.70,11.90,0.51,0.93,1.15,0.94,03:48:35,03:55:42,4.33,4.24,4.32,4.26,17.15,2.78,3.31,2.65,2.51,4.23,3.97,3.31,3.57,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7511,1,VMS 1 Fred,36,3,4/8/2021,4/8/2021 11:46 AM,11:50 AM,04:37,22.95,5.27,6.13,5.73,5.82,1.61,1.45,1.67,1.25,03:51:30,03:56:07,4.31,4.65,4.38,4.21,17.55,2.78,3.44,3.17,3.70,4.63,4.23,5.56,3.97,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7672,1,VMS 2 Ethel,20,3,4/8/2021,4/8/2021 9:55 PM,10:00 PM,05:25,21.38,4.12,6.70,4.94,5.62,1.43,1.07,1.19,0.95,03:50:47,03:56:12,4.30,4.24,4.19,4.23,16.95,2.25,2.12,1.85,2.38,3.17,3.17,3.17,2.91,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
8090,1,VMS 1 Fred,85,2,4/9/2021,4/9/2021 11:04 AM,11:11 AM,06:26,16.62,3.97,0.90,5.62,6.13,0.55,1.25,1.50,0.99,03:50:05,03:56:31,4.49,4.72,4.15,4.96,18.32,2.51,3.70,3.31,3.31,5.16,3.84,4.50,4.50,1.5,Unchecked,Checked,Unchecked,Unchecked,0,0,0,0,0,,70,LR
6867,1,VMS 2 Ethel,62,4,4/10/2021,4/10/2021 3:52 AM,3:58 AM,05:47,26.43,5.42,7.74,6.94,6.33,1.80,1.55,1.56,1.21,03:50:47,03:56:34,4.43,4.43,4.53,4.17,17.55,2.78,3.44,2.38,3.57,5.42,3.57,5.03,3.44,1.2,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
6643,1,VMS 2 Ethel,22,5,4/8/2021,4/8/2021 7:49 AM,7:55 AM,05:48,21.14,3.02,5.47,5.34,7.32,1.34,1.29,1.68,0.88,03:50:55,03:56:43,4.19,4.29,4.20,4.20,16.88,2.12,1.06,2.78,1.85,1.85,3.44,2.91,3.97,1.0,Unchecked,Unchecked,Checked,Unchecked,0,0,0,0,0,,74,
7672,1,VMS 2 Ethel,21,3,4/9/2021,4/9/2021 3:27 PM,3:33 PM,05:59,21.12,4.43,5.71,5.11,5.86,1.41,1.09,1.21,0.96,03:52:16,03:58:15,4.39,4.30,4.16,4.23,17.08,2.25,2.12,1.72,2.25,3.17,3.17,3.04,2.91,1.0,Unchecked,Checked,Unchecked,Unchecked,0,0,0,0,0,,70,
7150,1,VMS 2 Ethel,43,4,4/10/2021,4/10/2021 6:53 PM,6:59 PM,06:22,24.07,5.97,5.56,6.26,6.28,1.53,1.63,1.64,1.52,03:51:59,03:58:21,4.71,4.63,4.60,4.61,18.56,1.72,2.91,2.12,2.12,3.70,2.78,3.04,3.04,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
6867,1,VMS 2 Ethel,62,4,4/10/2021,4/10/2021 5:34 PM,5:40 PM,06:04,26.61,6.00,8.27,6.28,6.06,1.81,1.54,1.54,1.25,03:53:37,03:59:41,4.52,4.56,4.67,4.62,18.36,2.91,4.10,2.78,3.31,6.08,4.10,4.89,3.70,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7681,1,VMS 1 Fred,84,3,4/11/2021,4/11/2021 5:51 AM,5:57 AM,05:42,24.29,5.95,5.51,6.57,6.26,1.38,1.46,1.45,1.33,03:55:56,04:01:38,4.92,4.75,5.06,4.97,19.70,2.51,2.51,2.25,2.25,3.57,3.31,3.31,3.31,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7150,1,VMS 1 Fred,43,4,4/10/2021,4/10/2021 10:27 AM,10:32 AM,05:19,26.94,6.33,6.79,7.19,6.64,1.60,1.70,1.62,1.53,03:57:03,04:02:22,4.61,4.49,4.52,4.48,18.09,2.38,3.57,2.65,2.65,4.76,3.44,3.70,3.44,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7669,1,VMS 1 Fred,27,3,4/10/2021,4/10/2021 9:00 PM,9:06 PM,05:25,25.82,5.22,7.47,5.00,8.11,1.92,1.10,1.80,1.12,03:57:00,04:02:25,4.67,4.49,4.64,4.62,18.42,2.78,2.12,2.65,1.85,3.04,3.57,2.91,3.44,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
6345,1,VMS 2 Ethel,77,5,4/11/2021,4/11/2021 7:38 PM,7:45 PM,06:46,30.78,6.11,9.90,5.60,9.17,1.89,1.23,1.72,1.09,03:56:21,04:03:07,4.56,4.65,5.01,4.68,18.89,2.65,2.25,1.98,2.78,2.91,3.57,3.70,2.78,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,70,
7511,1,VMS 2 Ethel,36,3,4/8/2021,4/8/2021 7:02 PM,7:07 PM,05:27,19.62,5.53,7.34,6.75,0.00,1.64,1.47,0.83,1.25,03:58:17,04:03:44,0.00,4.57,4.45,4.50,13.52,2.65,3.17,0.00,3.57,3.97,4.23,4.50,0.00,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,RR,60,RR
7672,1,VMS 1 Fred,19,3,4/7/2021,4/7/2021 6:04 PM,6:10 PM,06:06,21.76,4.41,6.97,5.00,5.38,1.45,1.10,1.19,0.95,03:58:09,04:04:15,4.34,4.09,4.17,4.29,16.88,1.98,1.98,1.46,1.85,2.91,3.17,2.65,2.51,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
6867,1,VMS 2 Ethel,62,4,4/10/2021,4/10/2021 1:34 PM,1:40 PM,05:39,29.50,6.33,7.83,7.30,8.05,1.83,1.55,1.59,1.27,03:58:52,04:04:31,4.67,4.49,4.58,4.54,18.29,2.65,4.10,2.91,3.31,5.82,3.84,4.37,4.23,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7681,1,VMS 1 Fred,80,3,4/7/2021,4/7/2021 6:59 PM,7:04 PM,05:43,23.70,5.67,5.82,6.17,6.04,1.38,1.43,1.43,1.30,03:58:56,04:04:39,4.94,4.76,4.98,4.89,19.56,2.51,2.25,1.98,1.98,3.44,3.57,3.31,2.91,1.1,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
8865,1,VMS 1 Fred,20,1,4/9/2021,4/9/2021 12:58 PM,1:02 PM,04:17,13.12,2.87,2.93,5.58,1.74,0.50,0.55,0.52,0.36,04:01:02,04:05:19,4.01,4.20,3.86,4.08,16.15,2.25,2.91,2.12,3.97,3.97,3.04,5.95,3.04,1.0,Unchecked,Unchecked,Checked,Unchecked,0,0,0,0,0,,65,
8645,1,VMS 1 Fred,58,1,4/11/2021,4/11/2021 9:42 PM,9:47 PM,04:41,11.09,3.02,,3.44,4.63,0.00,0.81,1.08,0.74,04:00:38,04:05:19,4.06,3.89,,3.89,11.84,,1.85,2.12,1.72,2.65,,2.78,2.91,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,,0,,74,
7692,1,VMS 1 Fred,44,3,4/8/2021,4/8/2021 4:00 AM,4:04 AM,04:51,16.93,2.76,4.83,4.94,4.41,1.19,1.08,1.10,0.78,04:01:23,04:06:14,4.44,4.32,4.38,4.28,17.42,2.78,1.59,2.51,2.12,2.51,3.70,3.04,3.44,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7150,1,VMS 2 Ethel,41,4,4/8/2021,4/8/2021 11:06 PM,11:12 PM,05:54,30.14,7.34,7.61,7.58,7.61,1.62,1.69,1.69,1.53,04:00:39,04:06:33,4.77,4.77,4.65,4.63,18.83,2.51,3.04,2.78,2.51,4.23,3.57,3.57,3.84,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,65,
8645,1,VMS 1 Fred,55,1,4/8/2021,4/8/2021 11:07 AM,11:12 AM,05:02,11.02,3.15,,3.66,4.21,0.00,0.81,1.05,0.76,04:01:50,04:06:52,3.84,3.51,,3.61,10.96,,1.59,2.12,1.59,2.65,,2.78,3.17,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,,0,,70,
7681,1,VMS 1 Fred,81,3,4/8/2021,4/8/2021 9:55 PM,10:01 PM,05:46,23.96,5.51,5.86,6.55,6.04,1.40,1.46,1.45,1.32,04:01:18,04:07:04,4.87,4.79,4.88,4.89,19.43,2.51,2.25,2.12,2.12,3.31,3.44,4.10,2.91,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,74,
7681,1,VMS 1 Fred,82,3,4/9/2021,4/9/2021 8:56 PM,9:02 PM,06:23,23.61,5.69,5.78,6.11,6.04,1.39,1.45,1.44,1.32,04:01:28,04:07:51,4.80,4.67,4.72,4.83,19.03,2.12,2.25,1.72,1.85,3.31,3.04,3.04,2.91,1.0,Unchecked,Unchecked,Unchecked,Unchecked,0,0,0,0,0,,60,
